Emotion,Support,Baseline Precision,Baseline Recall,Baseline F1,Optimized Precision,Optimized Recall,Optimized F1,F1 Improvement
anger,1101,0.8089,0.7611,0.7843,0.7741,0.8029,0.7882,0.004
anticipation,425,0.4186,0.0847,0.1409,0.3286,0.3812,0.3529,0.212
disgust,1099,0.766,0.7389,0.7522,0.7033,0.8262,0.7598,0.0076
fear,485,0.825,0.6804,0.7458,0.8047,0.7052,0.7516,0.0059
joy,1442,0.8702,0.7947,0.8307,0.7956,0.8932,0.8416,0.0108
love,516,0.7139,0.4981,0.5868,0.6078,0.6667,0.6359,0.0491
optimism,1143,0.726,0.7419,0.7339,0.6746,0.8723,0.7608,0.0269
pessimism,375,0.4745,0.1733,0.2539,0.4113,0.464,0.4361,0.1822
sadness,960,0.7694,0.6292,0.6923,0.7062,0.726,0.716,0.0237
surprise,170,0.6667,0.0118,0.0231,0.4265,0.1706,0.2437,0.2206
trust,153,0.0,0.0,0.0,0.0999,0.5686,0.1699,0.1699
