emotion,TN,FP,FN,TP,precision,recall,f1,categoria
anger,1853,305,167,934,0.7538337368845843,0.8483197093551317,0.7982905982905982,FORTE
anticipation,2493,341,252,173,0.33657587548638135,0.40705882352941175,0.36847710330138445,PROBLEMATICA
disgust,1891,269,256,843,0.7580935251798561,0.7670609645131938,0.7625508819538671,FORTE
fear,2712,62,159,326,0.8402061855670103,0.6721649484536083,0.7468499427262314,FORTE
joy,1480,337,134,1308,0.7951367781155015,0.9070735090152566,0.847424684159378,FORTE
love,2289,454,83,433,0.4881623449830891,0.8391472868217055,0.617248752672844,INTERMEDIA
optimism,1632,484,156,987,0.6709721278042148,0.863517060367454,0.7551644988523335,FORTE
pessimism,2743,141,265,110,0.43824701195219123,0.29333333333333333,0.35143769968051125,PROBLEMATICA
sadness,2116,183,326,634,0.7760097919216646,0.6604166666666667,0.7135621834552618,FORTE
surprise,3002,87,128,42,0.32558139534883723,0.24705882352941178,0.28093645484949836,PROBLEMATICA
trust,2904,202,109,44,0.17886178861788618,0.2875816993464052,0.2205513784461153,PROBLEMATICA
